SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Ridgeway,Walking/cycling route,Greenwich,10.8954,Free,,,,,,,,,
Bracondale Road,Amenity green space,Greenwich,0.146,Free,,,,,,,,,
Sunbury Street Playground,Play space,Greenwich,0.3306,Free,,,,,,,,,
Vicarage avenue,Amenity green space,Greenwich,0.4307,Free,,,,,,,,,
Bentham Road drain,Canal,Greenwich,0.3759,Free,,,,,,,,,
Falconwood Field,Amenity green space,Greenwich,6.4319,Free,,,,,,,,,
Eastmore Street Park North,Park,Greenwich,1.0196,Free,,,,,,,,,
Villas Rd open space,Park,Greenwich,3.9229,Free,,,,,,,,,
Kingsground,Amenity green space,Greenwich,0.1872,Free,,,,,,,,,
Hastings Street,Park,Greenwich,0.985,Free,,,,,,,,,
Savendroog amenity grass and carpark,Nature reserve,Greenwich,0.6335,Free,,,,,,,,,
Ashlar Place,Amenity green space,Greenwich,0.0812,Free,,,,,,,,,
Bugsby's Way park next to IKEA,Park,Greenwich,0.5046,Free,,,,,,,,,
Wynford Way playing fields,Playing fields,Greenwich,3.0108,Free,,,,,,,,,
Pippenhall Path,Walking/cycling route,Greenwich,0.2434,Free,,,,,,,,,
Point Hill,Nature reserve,Greenwich,0.2222,Free,,,,,,,,,
Ridge Close Park,Park,Greenwich,4.5193,Free,,,,,,,,,
Katherine Gardens,Amenity green space,Greenwich,0.256,Free,,,,,,,,,
Woolwich Docks,Other recreational,Greenwich,0.5658,Free,,,,,,,,,
Cade Road,Nature reserve,Greenwich,1.541,Free,,,,,,,,,
Avery Hill sports ground,Playing fields,Greenwich,5.3031,Free,,,,,,,,,
The Point,Park,Greenwich,1.3195,Free,,,,,,,,,
General Wolfe Road,Nature reserve,Greenwich,2.1446,Free,,,,,,,,,
Shawbrooke Road,Amenity green space,Greenwich,0.1116,Free,,,,,,,,,
Charlton Park,Playing fields,Greenwich,20.788,Free,,,,,,,,,
Clam Field,Recreation ground,Greenwich,12.0452,Free,,,,,,,,,
Queenscroft Recreational Ground,Recreation ground,Greenwich,5.2115,Free,,,,,,,,,
Hornlinks Way Green,Park,Greenwich,0.1999,Free,,,,,,,,,
Manor Way Green (Greenwich),Park,Greenwich,1.807,Free,,,,,,,,,
The Paragon,Amenity green space,Greenwich,0.6505,De facto,,,,,,,,,
Greenwich Peninsular Ecology Park,Park,Greenwich,2.4062,Free,,,,,,,,,
